TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2017-02-16,KIMCHEE HOLBORN,10085820,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,16.54
2017-02-17,BEER HOUSE-18061133,10085820,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,11.85
2017-02-17,STARBUCKS,10085820,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,7.73
2017-02-07,CHICKEN SHOP HOLBORN,10085820,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,17
2017-02-07,HEATHROW EXPRESS,10085820,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,25
2017-02-08,PIZZA EXPRESS,10085820,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,20.3
2017-02-09,HEATHROW EXPRESS,10085820,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,25
2017-02-09,PRET A MANGER,10085820,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,11.28
2017-02-13,OYSTER RENEW WEB,10085820,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2017-02-14,LA SALLE,10085820,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,13.5
2017-02-21,SAINSBURYS SACAT 2019,10085820,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,7.5
2017-02-14,AUTOGRILL LEON KINGSCR,10085820,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,6.55
2017-02-14,PRET A MANGER,10085820,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,4.6
2017-02-14,TRAVELODGE,10085820,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,62
2017-02-15,CAMDEN FOOD COMPAN,10085820,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,9.3
2017-02-08,COPPI,10085350,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,194.76
2017-02-02,GOOGLE  SVCSAPPS_FSA-E,10085541,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,62.7
2017-02-03,AMAZON UK MARKETPLACE,10085541,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,9.45
2017-02-08,HP INC UK LIMITED,10085541,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,580.8
2017-02-21,AMAZON UK MARKETPLACE,10085541,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,29.99
2017-02-23,AMAZON UK MARKETPLACE,10085541,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,558
2017-02-24,DNH GODADDY.COM EUROPE,10085541,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,181.18
2017-02-25,MSFT  <E04003DKE9>,10085541,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,294.31
2017-02-27,FAIOKEROU,10085541,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,86.81
2017-02-27,WWW.MAPLIN.CO.UK,10085541,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,499.5
2017-02-12,OYSTER AUTOTOPUP,10085820,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2017-02-01,IDB SYSTEMS LTD,10085721,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,489.96
2017-02-03,PAYPAL  BLASCYMRU,10085721,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,100
2017-02-05,SURVEYMONKEY.COM,10085721,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,24
2017-02-06,WALES REGION,10085721,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,190
2017-02-06,WWW.CATALOGUE.WLPVP.CO,10085721,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - STATIONERY,26.68
