TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2016-11-04,STATIONERY OFFICE BOOK,10085820,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - STATIONERY,15.25
2016-11-08,FRANCO MANCA,10085820,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,16.4
2016-11-05,SURVEYMONKEY.COM,10085721,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,24
2016-11-07,WWW.HXPAYMENTS.COM,10085721,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,24.99
2016-11-21,CREIGIAU TRAVEL LTD,10085721,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,324.45
2016-11-07,THE FARMERS CLUB,10085460,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,209.25
2016-11-08,XPERT CARS,10085460,EXP - PURCHASE OF GOODS/SERVICES - TAXI SERVICES,75.6
2016-11-09,SAFE.CO.UK,10085460,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,129
2016-11-10,WWW.CATALOGUE.WLPVP.CO,10085460,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - STATIONERY,26.68
2016-11-11,WWW.CATALOGUE.WLPVP.CO,10085460,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - STATIONERY,26.68
2016-11-22,INSTITUTE OF FISCAL ST,10085460,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,48
2016-11-22,MARKS&SPENCER PLC,10085460,EXP - PURCHASE OF GOODS/SERVICES - CATERING & HOSPITALITY,279
2016-11-24,PAYATRADER,10085460,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES COSTS,80
2016-11-25,CAPTUMCAPIT,10085460,EXP - MISCELLANEOUS EXPENDITURE,480
2016-11-28,ASHA'S,10085460,EXP - PURCHASE OF GOODS/SERVICES - CATERING & HOSPITALITY,110
2016-11-29,WWW.PRET.COM,10085460,EXP - PURCHASE OF GOODS/SERVICES - CATERING & HOSPITALITY,43.5
2016-11-30,WWW.PRET.COM,10085460,EXP - PURCHASE OF GOODS/SERVICES - CATERING & HOSPITALITY,163.65
2016-11-09,WWW.OFFICESTATIONERY.,10085721,EXP - MISCELLANEOUS EXPENDITURE,157.06
2016-11-09,XL DISPLAYS LTD,10085721,EXP - MISCELLANEOUS EXPENDITURE,142.8
2016-11-16,AMAZON UK MARKETPLACE,10085721,EXP - MISCELLANEOUS EXPENDITURE,9.79
2016-11-16,AMAZON UK MARKETPLACE,10085721,EXP - MISCELLANEOUS EXPENDITURE,39.15
2016-11-21,CHESTER HOTEL,10085721,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,95
2016-11-07,APCOA - NWR LEEDS,10085510,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,19
2016-11-09,MUMBAI LOUNGE,10085510,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,188.7
2016-11-09,NOVOTEL HOTELS,10085510,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,11
2016-11-21,BOMBAY GRILL,10085510,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,38.6
2016-11-30,ASHA'S,10085510,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,145.54
2016-11-14,APCOA - OFF STREET,10085347,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,9.7
2016-11-21,AMAZON UK RETAIL AMAZO,10085347,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,22.94
2016-11-22,NMBS LEUVEN,10085347,EXP - PURCHASE OF GOODS/SERVICES - OTHER FOREIGN TRAVEL,15.1
2016-11-22,NOVOTEL BRUSSELS AIRP,10085347,EXP - PURCHASE OF GOODS/SERVICES - FOREIGN SUBSISTENCE,24.15
2016-11-26,AMAZON UK RETAIL AMAZO,10085347,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,14.88
2016-11-14,INST. OF CHARTERED ACC,10085550,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - MEMBERSHIP OF ORGANISATIONS,462
2016-11-15,INST. OF CHARTERED ACC,10085550,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - MEMBERSHIP OF ORGANISATIONS,355
2016-11-16,CHARTERED INSTITUTE OF,10085550,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - MEMBERSHIP OF ORGANISATIONS,144
2016-11-18,WWW.KPMG.CO.UK,10085550,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,358.8
2016-11-22,ACCA,10085550,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - MEMBERSHIP OF ORGANISATIONS,231
2016-11-09,LUL TICKET MACHINE,10085820,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,60
2016-11-09,SPAGHETTI HOUSE SICILI,10085820,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,20.45
2016-11-10,CAFFE NERO 87 PADDINGT,10085820,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,4.25
2016-11-10,DIXONS TRAVEL,10085820,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,14.92
2016-11-15,PRET A MANGER,10085820,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,9.48
2016-11-23,NCP LIMITED,10085820,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,36
2016-11-22,SEVERN RIVER CROSSIN P,10085820,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,6.6
2016-11-04,THE FARMERS CLUB,10085110,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,234
2016-11-08,THE FARMERS CLUB,10085110,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,94
2016-11-10,WWW.PMGLTD.CO.UK,10085110,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,474
2016-11-15,APCOA - OFF STREET,10085110,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,4.2
2016-11-17,OYSTER AUTOTOPUP,10085110,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2016-11-17,THE FREE WORD CENTRE,10085110,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,220
2016-11-23,OYSTER AUTOTOPUP,10085110,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2016-11-25,EAT,10085110,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,9.98
2016-11-25,ONLINE-ERGONOMICS.,10085110,EXP - DEPRECIATION - PPE (OWNED) - FURNITURE & FITTINGS,35.99
2016-11-25,SAINSBURYS 2019,10085110,EXP - PURCHASE OF GOODS/SERVICES - CATERING & HOSPITALITY,32.44
2016-11-28,APCOA - OFF STREET,10085110,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,4.2
2016-11-30,PAYPAL  FOSTERPAREN,10085110,EXP - MISCELLANEOUS EXPENDITURE,74.42
2016-11-25,OYSTER AUTOTOPUP,10085510,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2016-11-29,WWW.CIMAGLOBAL.COM,10085510,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - MEMBERSHIP OF ORGANISATIONS,269
2016-11-10,SHL GROUP LTD,10085520,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - RECRUITMENT ADVERTISING,591
2016-11-17,PLUMPTON COLLEGE CORP,10085520,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,165
2016-11-29,CORNWALL COLLEGE S,10085520,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,550
2016-11-09,APCOA PARKING (UK) LTD,10085530,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,9
2016-11-16,APCOA PARKING (UK) LTD,10085530,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,18
2016-11-18,OYSTER AUTOTOPUP,10085530,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2016-11-22,APCOA PARKING (UK) LTD,10085530,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,9
2016-11-24,APCOA PARKING (UK) LTD,10085530,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,9
2016-11-26,OYSTER AUTOTOPUP,10085530,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2016-11-26,OYSTER AUTOTOPUP,10085530,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2016-11-09,U/U COLERAINE CAMPUS T,10085820,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,100
2016-11-10,TRANSLINK WEB PAYMENTS,10085820,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,22.5
2016-11-15,WWW.CIMAGLOBAL.COM,10085820,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - MEMBERSHIP OF ORGANISATIONS,269
2016-11-24,CIEH,10085820,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - MEMBERSHIP OF ORGANISATIONS,175
2016-11-18,TICKETOFFICESALE,10085340,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,20.9
2016-11-25,TAMESIDE METROPOLITAN,10085340,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,67.99
2016-11-28,JAMIES ITALIAN,10085340,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,52.9
2016-11-29,VIRGIN TRAINS EC,10085340,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,15.4
2016-11-30,MICROSOFT    STORE,10085340,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,99.99
2016-11-11,APCOA PARKING (UK) LTD,10085452,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,9.2
2016-11-15,CUSTOMER THERMOMETER,10085452,EXP - MISCELLANEOUS EXPENDITURE,36.45
2016-11-17,APCOA PARKING (UK) LTD,10085452,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,9.2
2016-11-18,OYSTER AUTOTOPUP,10085452,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2016-11-21,APCOA PARKING (UK) LTD,10085452,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,18.2
2016-11-28,APCOA PARKING (UK) LTD,10085452,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,18.2
