TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2017-01-30,THE POST OFFICE,10085150,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,3.95
2017-01-19,AOAC INTERNATIONAL,10085211,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - MEMBERSHIP OF ORGANISATIONS,838.27
2017-01-18,EAT,10085820,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,6
2017-01-18,LUL TICKET MACHINE,10085820,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,35
2017-01-18,SAINSBURYS SACAT 2019,10085820,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,5.05
2017-01-26,LEON KINGSWAY,10085820,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,6.45
2017-01-31,OBRIENS,10085820,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,3.95
2017-01-31,PIZZA EXPRESS,10085820,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,19.25
2017-01-31,TRAINLINE,10085820,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,79.61
2017-01-18,COSTA COFFEE,10085410,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,8.45
2017-01-06,WAGAMAMA HOLBORN,10085820,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,40.65
2017-01-09,OYSTER RENEW WEB,10085820,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2017-01-05,TRANSLINK WEB PAYMENTS,10085820,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,22.5
2017-01-05,TRANSLINK WEB PAYMENTS,10085820,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,17.5
2017-01-26,PANAPOLIS 18131461,10085820,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,19.05
2017-01-19,WWW.CATALOGUE.WLPVP.CO,10085350,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - STATIONERY ,26.68
2017-01-25,WILLIAM REED BUSINESS,10085350,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,116.4
2017-01-01,GOOGLE  SVCSAPPS_FSA-E,10085541,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,62.7
2017-01-16,AMAZON PRIME,10085541,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,79
2017-01-17,AMAZON UK MARKETPLACE,10085541,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,15.75
2017-01-17,AMAZON UK MARKETPLACE,10085541,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,14.99
2017-01-21,AMAZON UK MARKETPLACE,10085541,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,254
2017-01-21,AMAZON UK MARKETPLACE,10085541,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,19.99
