TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2018-08-16,ABBEY CONFERENCE SERVI,10085820,Staff training: Region & HQ Admin,500
2018-08-30,WWW.THINKDIFFERENTEVEN,10085340,Conference & meeting facilities,792
2018-08-14,THE FARMERS CLUB,10085210,Actual Bed and breakfast costs,909.15
2018-08-24,WWW.PUBLICPOLICYEXCHAN,10085520,Staff training: Region & HQ Admin,684
2018-08-28,PAYPAL  CAMPDENBRIC,10085520,Staff training: Region & HQ Admin,540
2018-08-30,WWW.PMGLTD.CO.UK,10085520,Staff training: Region & HQ Admin,534
2018-08-01,WWW.WILLIAM-REED.CO.UK,10085820,Recruitment & advertising charges,600
2018-08-30,ULSTER UNIVERSITY STUD,10085820,Project Programme Expenditure,645
2018-08-30,UPSTREAM WORKING CAPIT,10085820,Project Programme Expenditure,3600
2018-08-03,POSITIVE MEDIA PROMOTI,10085350,Meat inspection equip/consumables,1753.8
2018-08-31,BRITISH OCCUPATIONAL H,10085411,Conference & meeting facilities,774
2018-08-31,HARBORNE FOOD SCHO,10085220,Staff training: Corp Strategy,1020
2018-08-25,DRI QLIKTECH  INC,10085510,IT Software Licences,694.87
2018-08-13,ENERGIA,10085820,Utilities,680.87
2018-08-14,NI JOBS.COM LTD,10085820,Recruitment & advertising charges,2998.8
