TransactionDate,MerchantName,TransactionAmount,ReferenceNumber
2020-01-02,FULPRINT LTD,565.63,6914369276
2020-01-03,AWS EMEA,870.44,6918657142
2020-01-13,THE PUBLISHING TRAININ,2040,6950305268
2020-01-13,IVY MARKET GRILL PDR (,750,6950649332
2020-01-13,ENERGIA,565.89,6950305274
2020-01-14,BMF BUSIN.SERV.LTD-CON,1339.2,6954774796
2020-01-16,HAYMARKET MEDIA GROUP,1078.8,6965973420
2020-01-21,STATIONERY OFFICE BOOK,4856,6984932664
2020-01-21,NEWS UK & IRELAND COMM,960,6984451898
2020-01-21,BELFAST TELEGRAPH,1872,6984451908
2020-01-27,NOW PROJECT LIMITED,900,7009939096
2020-01-28,CAPITA BUSINESS SERVS,2105.81,7014005284
2020-01-30,LSR TRAINING AND DEVEL,894,7024621372
2020-01-30,W DISPLAY,1587.67,7024621374
