TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2018-04-12,HOUSE OF COMMONS,10085250,Conference & meeting facilities,806.25
2018-04-12,WWW.PUBLICPOLICYEXCHAN,10085250,Staff training: Region & HQ Admin,828
2018-04-06,SHL GROUP LTD,10085520,Recruitment & advertising charges,600
2018-04-16,SHL GROUP LTD,10085520,Recruitment & advertising charges,600
2018-04-30,"MSFT  <E05005GIPE,E050",10085541,IT Software Licences,1065.6
2018-04-26,FOOD TECH WEEK,10085332,Conference & meeting facilities,1200
2018-04-10,HTTPS//WWW.GK-LEARNIN,10085520,Staff training: Region & HQ Admin,568.86
2018-04-13,CIVIL SERVICE COLLEGE,10085520,Staff training: Region & HQ Admin,660
2018-04-21,PAYPAL  ASPIRELEADE,10085520,Staff training: Region & HQ Admin,540
2018-04-27,WWW.THEKNOWLEDGEACADEM,10085520,Staff training: Region & HQ Admin,1614.73
2018-04-16,DATA SOLUTIONS 201,10085350,Archiving - Storage & Dist,919.92
2018-04-20,DEFRA FOSSE HOUSE,10085110,Hospitality,591.84
2018-04-30,PAYPAL  RAISEBARLTD,10085460,Other services,1682
2018-04-25,DRI QLIKTECH  INC,10085510,IT Software Licences,639.99
2018-04-13,ENERGIA,10085820,Utilities,742.85
