TransactionDate,MerchantName,TransactionAmount,ReferenceNumber
2019-09-03,AWS EMEA,896.28,8776899731
2019-09-04,STATIONERY OFFICE BOOK,3701,8781007515
2019-09-06,ACT NOW TRAINING LIMIT,2394,8792666875
2019-09-06,OUT OF THE OFFICE LTD,2740.5,8792666873
2019-09-06,NOW PROJECT LIMITED,900,8792666899
2019-09-09,BMJ PUBLISHING GROUP,600,8800310105
2019-09-11,INFRAGISTICS.COM,1116,8817060417
2019-09-12,LIVEGROUP.CO.UK,594,8816663183
2019-09-12,LSR TRAINING AND DEVEL,594,8816663179
2019-09-12,ENERGIA,604.03,8816663207
2019-09-19,CAPITA BUS SVS-MOTO,736.16,6610508058
2019-09-20,OFF LIMITS GROUP,2040,6618581096
2019-09-20,SURVEYMONKEY,1056,6618581134
2019-09-26,PAYPAL  CAMPDENBRIC,540,6643336656
2019-09-26,PAYPAL  CAMPDENBRIC,540,8846478123
2019-09-27,CAPITA BUS SVS-MOTO,736.16,8846478121
2019-09-27,SCANDIC HOTELS,574.32,8846816461
2019-09-30,CAPITA BUS SVS-MOTO,736.16,8852240805
