TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2017-11-03,TIMES NEWSPAPERS LTD,10085250,Subscriptions to pro bodies,26
2017-11-09,EB  MEET THE EDITORS B,10085250,Subscriptions to pro bodies,155.31
2017-11-10,PARLI-TRAINING,10085250,Staff training: Region & HQ Admin,2793.6
2017-11-10,TAURUS PRINT & DESIGN,10085250,Reprographic services,736.8
2017-11-13,PIKTOCHART,10085250,Subscriptions to pro bodies,22.85
2017-11-17,POST OFFICE COUNTER,10085150,Postal Charges,7.8
2017-11-22,MCDONALDS,10085150,Subsis day time meal allowance,4.99
2017-11-30,MCDONALDS,10085150,Subsis day time meal allowance,4.99
2017-11-13,CRAZY EGG.COM,10085545,Project Programme Expenditure,463.36
2017-11-18,VENNGAGE.COM,10085250,Subscriptions to pro bodies,117.3
2017-11-20,CLOUDFLARE,10085545,Project Programme Expenditure,155.83
2017-11-27,LASTPASS.COM,10085545,Project Programme Expenditure,133.63
2017-11-28,ATLASSIAN,10085545,Project Programme Expenditure,7.78
2017-11-08,POST OFFICE COUNTER,10085150,Postal Charges,3.5
2017-11-18,AMAZON EU AMAZON.CO.UK,10085150,Stationery,34.16
2017-11-21,MERCURE TUNBRIDGE,10085150,Subsistence 24 hour subsistence,25
2017-11-22,MCDONALDS,10085150,Subsistence 24 hour subsistence,3.99
2017-11-22,MCDONALDS,10085150,Subsistence 24 hour subsistence,1.89
2017-11-22,POST OFFICE COUNTER,10085150,Postal Charges,1.75
2017-11-23,COSTA COFFEE 43039880,10085150,Subsis day time meal allowance,4.3
2017-11-28,3119 ARAMARK CAFE,10085150,Subsis day time meal allowance,2.25
2017-11-03,POST OFFICE COUNTER,10085150,Postal Charges,25.96
2017-11-08,MOGAL E AZAM RESTAURAN,10085150,Subsistence 24 hour subsistence,25
2017-11-21,BEE HIVE,10085150,Subsistence 24 hour subsistence,19.48
2017-11-29,ASDA SUPERSTORE,10085150,Stationery,7.3
2017-11-29,POST OFFICE COUNTER,10085150,Postal Charges,11.7
2017-11-21,"AZ   RD, LDA",10085410,Subsis day time meal allowance,14.75
2017-11-22,REST JOAO DA PRACA,10085410,Subsistence 24 hour subsistence,50.45
2017-11-24,VINCCI BAIXA,10085410,EC Actual Bed & Breakfast Costs,71.41
2017-11-24,TERREIRO DO PACO,10085410,Subsis day time meal allowance,1.8
2017-11-26,KIOSK GARE DU MIDI,10085410,Rail Travel,17.5
2017-11-28,GUAPA TREVES,10085410,Subsis day time meal allowance,13.31
2017-11-28,THON HOTEL EU,10085410,EC Actual Bed & Breakfast Costs,72.64
2017-11-01,EAT,10085820,Subsistence 24 hour subsistence,10.39
2017-11-01,HEATHROW EXPRESS,10085820,Rail Travel,25
2017-11-29,CHICKEN SHOP HOLBORN,10085820,Subsistence 24 hour subsistence,32
2017-11-29,NEW SOUTHERN RAILW,10085820,Travel UK Taxi/Bus/Tube,50
2017-11-30,JAMIES ITALIAN,10085820,Subsistence 24 hour subsistence,15
2017-11-09,ENTERPRISE RENT-A-CAR,10085370,Car hire expenses (short term),216.03
2017-11-10,BISTRO 1800 HILTON WPG,10085370,Subsistence 24 hour subsistence,33.58
2017-11-27,ALLIED PUBLICITY S,10085370,Stationery,25.9
