TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2016-09-29,CIGALA,10085350,SUBSISTENCE,230.06
2016-09-29,"HOTEL DEVIN, A.S.",10085410,Actual Bed and breakfast costs,189.84
2016-09-29,POST OFFICE COUNTER,10085150,POSTAGE,7.01
2016-09-29,OYSTER AUTOTOPUP,10085370,OTHER TRAVEL,20
2016-09-27,THON HOTEL EU,10085721,SUBSISTENCE,24.91
2016-09-29,PLUMPTON COLLEGE CORP,10085520,TRAINING & DEVELOPMENT,2664
2016-09-29,INT SCIENTIFIC SUP,10085370,LAB & TECHNICAL EQUIPMENT,429
2016-09-29,THE CIVIL SERVICE,10085370,TRAINING & DEVELOPMENT,110
2016-09-29,ROYAL MAIL PRE-PAY,10085370,POSTAGE,100
2016-09-27,ALOFT BRUSSELS SCHUMAN,10085412,SUBSISTENCE,-11.12
2016-09-28,ONE STOP 0985,10085150,SUBSISTENCE,3
2016-09-28,TESCO STORES 5994,10085721,SUBSISTENCE,2.4
2016-09-28,AMAZON UK MARKETPLACE,10085370,MISCELLANEOUS EXPENDITURE,99.8
2016-09-28,DISCLOSURE SCOT,10085520,Recruitment,25
2016-09-26,DUSTY'S WINE BAR,10085340,SUBSISTENCE,33.84
2016-09-27,POST OFFICE COUNTER,10085250,POSTAGE,100
2016-09-27,FORTNUM & MASON,10085110,OTHER PROFESSIONAL SERVICES,150
2016-09-27,APCOA - NWR LEEDS,10085510,OTHER TRAVEL,19
2016-09-27,CARNE VALLE,10085410,SUBSISTENCE,19.84
2016-09-27,BMF BUSI SERV LTD-CONF,10085820,TRAINING & DEVELOPMENT,210
2016-09-21,CAMPDENBRIC,10085721,TRAINING & DEVELOPMENT,420
2016-09-26,NOVOTEL,10085721,Actual Bed and breakfast costs,85
2016-09-27,AMAZON UK MARKETPLACE,10085721,MISCELLANEOUS EXPENDITURE,12.28
2016-09-27,SHORT/MED 2&3 BIRMINGH,10085721,OTHER TRAVEL,26
