TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2017-06-01,RYMAN 1037,10085250,Computer Hardware/Software,16.99
2017-06-01,APPLE STORE R245,10085250,Computer Hardware/Software,319
2017-06-06,AZO PRINT LTD,10085250,Printing & binding,68.41
2017-06-14,SAINSBURYS 2019,10085250,Project Programme Expenditure,33.92
2017-06-14,STK SHUTTERSTOCK.COM,10085250,Publicity charges,32
2017-06-14,WWW.ISTOCK.COM,10085250,Stationery,69
2017-06-20,AZO PRINT LTD,10085250,Printing & binding,198
2017-06-08,POST OFFICE COUNTER,10085150,Postal Charges,14.3
2017-06-13,GRAND CENTRAL,10085150,Subsistence 24 hour subsistence,24
2017-06-14,GREGGS,10085150,Subsistence 24 hour subsistence,2.55
2017-06-15,POST OFFICE COUNTER,10085150,Postal Charges,4.4
2017-06-23,POST OFFICE COUNTER,10085150,Postal Charges,7.8
2017-06-29,POST OFFICE COUNTER,10085150,Postal Charges,8.78
2017-06-30,POST OFFICE COUNTER,10085150,Postal Charges,6.5
2017-06-01,PRZCHARGE.PREZI.COM,10085545,Project Programme Expenditure,101
2017-06-06,PAYPAL  SEIRETTOLTD,10085545,Project Programme Expenditure,213.6
2017-06-19,CHARGE.PREZI.COM,10085545,Project Programme Expenditure,-101
2017-06-20,CLOUDFLARE,10085545,Project Programme Expenditure,163.54
2017-06-28,HAUGHTON HAL,10085150,Subsistence 24 hour subsistence,50
2017-06-05,THE POST OFFICE,10085150,Postal Charges,3.62
2017-06-07,THE POST OFFICE,10085150,Postal Charges,7.8
2017-06-15,TICKLED TROUT,10085150,Subsistence 24 hour subsistence,24
2017-06-16,TICKLED TROUT,10085150,Actual Bed and breakfast costs,10.95
2017-06-16,W M MORRISON PET,10085150,Car hire expenses (short term),50
2017-06-20,THE POST OFFICE,10085150,Postal Charges,2.4
2017-06-27,THE POST OFFICE,10085150,Postal Charges,3.9
2017-06-30,THE POST OFFICE,10085150,Postal Charges,5.5
2017-06-29,TOURVEST-BA FOOD/,10085211,Other Travel,5.95
2017-06-14,ITSU 018 HIGH HOLBORN,10085250,Subsis incidental personal expens,6.47
2017-06-14,WAHACA,10085250,Subsis incidental personal expens,18
2017-06-15,LUL TICKET MACHINE,10085250,Subsis incidental personal expens,30
2017-06-15,NANDOS HOLBORN,10085250,Subsis incidental personal expens,17.75
2017-06-16,LEON KINGSWAY,10085250,Subsis incidental personal expens,9.3
2017-06-16,LONDON MIDLAND SEL,10085250,Subsis incidental personal expens,13.9
2017-06-19,SAINSBURYS SACAT 2019,10085250,Subsis incidental personal expens,9
2017-06-19,PHO COVENT GARDEN,10085250,Subsis incidental personal expens,13.25
2017-06-19,LONDON MIDLAND SEL,10085250,Subsis incidental personal expens,13.9
2017-06-19,EAT,10085250,Subsis incidental personal expens,4.19
2017-06-20,CAMDEN FOOD COMPAN,10085250,Subsis incidental personal expens,9.39
2017-06-20,VIRGINTRAINSEC KGX STN,10085250,Subsis incidental personal expens,152.4
