TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2016-10-29,MOSS OUTLET - 069,10085340,MISCELLANEOUS EXPENDITURE,87
2016-10-28,OYSTER AUTOTOPUP,10085110,OTHER TRAVEL,20
2016-10-28,TSGN,10085340,RAIL TRAVEL,9.7
2016-10-30,CUSTOMER THERMOMETER,10085510,ICT,37.37
2016-10-29,OYSTER AUTOTOPUP,10085110,OTHER TRAVEL,20
2016-10-28,OYSTER BUS AUTOTOP,10085460,OTHER TRAVEL,40
2016-10-28,AMAZON UK RETAIL AMAZO,10085347,MISCELLANEOUS EXPENDITURE,29.49
2016-10-26,MCDONALDS,10085150,SUBSISTENCE,4.69
2016-10-26,JINNAH,10085150,SUBSISTENCE,75
2016-10-27,THE ROYAL YORK HOTEL,10085150,SUBSISTENCE,5
2016-10-27,WAGAMAMA HOLBORN,10085250,SUBSISTENCE,72.1
2016-10-27,THE ROYAL YORK HOTEL,10085150,SUBSISTENCE,5
2016-10-27,OYSTER AUTOTOPUP,10085820,OTHER TRAVEL,20
2016-10-27,OYSTER AUTOTOPUP,10085510,OTHER TRAVEL,20
2016-10-27,OYSTER AUTOTOPUP,10085370,OTHER TRAVEL,20
2016-10-27,SOCIETY FOR APPLIED MI,10085460,MEMBERSHIP OF ORGANISATIONS,50
2016-10-27,WWW.SOLACE.ORG.UK,10085820,MEMBERSHIP OF ORGANISATIONS,156
2016-10-27,WWW.CIPS.ORG,10085530,MEMBERSHIP OF ORGANISATIONS,187.68
2016-10-26,SEVERN RIVER CROSSIN P,10085150,OTHER TRAVEL,6.6
2016-10-25,ISO/CS,10085411,PUBLICATIONS,32.29
2016-10-26,KALAMAZOO SECURE LTD,10085543,OTHER FACILTIES COSTS - SECURITY,175.14
2016-10-26,Q PARK THE SHAMBLES,10085510,OTHER TRAVEL,2.4
2016-10-26,BOULEVARD CAFE,10085820,SUBSISTENCE,82.5
2016-10-25,MSFT  <E04002TV6W>,10085541,ICT,303.66
2016-10-26,APCOA PARKING (UK) LTD,10085452,OTHER TRAVEL,18.2
2016-10-26,WWW.CIMAGLOBAL.COM,10085510,MEMBERSHIP OF ORGANISATIONS,108
2016-10-26,RESTAURANT BABA ANGORA,10085340,SUBSISTENCE,20.25
2016-10-24,ALOFT BRUSSELS SCHUMAN,10085424,FOREIGN SUBSISTENCE,22.59
2016-10-25,THE CHESTNUT TREE,10085340,SUBSISTENCE,25.35
2016-10-25,TESCO STORES 3378,10085150,SUBSISTENCE,4.5
2016-10-25,ADDISON LEE,10085340,TAXI SERVICES,28.65
2016-10-25,ADDISON LEE,10085340,TAXI SERVICES,34.65
2016-10-25,TRANSLINK WEB PAYMENTS,10085820,RAIL TRAVEL,68
2016-10-25,AMAZON UK MARKETPLACE,10085541,MISCELLANEOUS EXPENDITURE,14.18
2016-10-25,INST OF OPTOMETRY,10085460,PERSONNEL RELATED - EYE SIGHT TESTING,8
2016-10-25,TESCO STORES 4386,10085721,SUBSISTENCE,2
2016-10-25,GATE REMOTES LTD,10085820,OTHER FACILTIES COSTS - SECURITY,120.17
2016-10-25,SHEFFIELD HALLAM U,10085820,TRAINING & DEVELOPMENT,4170
2016-10-25,WWW.PRET.COM,10085460,CATERING & HOSPITALITY,105.85
2016-10-24,CARLUCCIO S ABERDEEN,10085340,SUBSISTENCE,48.95
2016-10-24,BURGOYNES OF LYONSHALL,10085721,MISCELLANEOUS EXPENDITURE,465.6
2016-10-24,W A PRODUCTS UK,10085370,SAMPLE COLLECTION EQUIP / CONSUMABLES,49.2
2016-10-24,CHIQUITO 2013,10085340,SUBSISTENCE,62.65
2016-10-20,LPS MARINA PARKING,10085150,OTHER TRAVEL,5
2016-10-20,CLOUDFLARE,10085250,ICT,168.56
2016-10-21,OYSTER AUTOTOPUP,10085541,OTHER TRAVEL,20
2016-10-21,TURPIN44(0)01767604800,10085452,POSTAGE,14.25
2016-10-21,EB  CIPD WELL-BEING AN,10085820,MEMBERSHIP OF ORGANISATIONS,150
2016-10-21,OYSTER RENEW WEB,10085820,OTHER TRAVEL,-20
2016-10-21,BELFAST CROWN.,10085820,CATERING & HOSPITALITY,30
2016-10-21,VIS SECURITY SOLUTIONS,10085820,OTHER FACILTIES COSTS - SECURITY,18
2016-10-21,WWW.OFFICESTATIONERY.,10085370,STATIONERY,31.24
2016-10-20,TMR EXECUTIVE AGENCY L,10085543,OTHER FACILITIES COSTS ,189.54
2016-10-20,THE FARMERS CLUB,10085110,Actual Bed and breakfast costs,94
2016-10-20,EASTERN BALTI,10085150,SUBSISTENCE,19.1
2016-10-20,SP  ARTEFACT BY SMITH,10085452,ICT,207
2016-10-20,OYSTER AUTOTOPUP,10085530,OTHER TRAVEL,20
2016-10-20,J J'S,10085721,CATERING & HOSPITALITY,334.68
2016-10-20,OYSTER AUTOTOPUP,10085452,OTHER TRAVEL,20
2016-10-20,ROYAL MAIL PRE-PAY,10085370,POSTAGE,100
2016-10-20,WWW.THEKNOWLEDGEACADEM,10085452,TRAINING & DEVELOPMENT,1906.8
2016-10-20,747457,10085721,OTHER TRAVEL,5.8
2016-10-20,APCOA PARKING (UK) LTD,10085530,OTHER TRAVEL,9
2016-10-19,POST OFFICE COUNTER,10085150,POSTAGE,6.6
2016-10-19,AMAZON EU,10085541,MISCELLANEOUS EXPENDITURE,59.99
2016-10-19,PAYPAL  EUROFIR,10085460,MEMBERSHIP OF ORGANISATIONS,54.63
2016-10-19,AMAZON UK MARKETPLACE,10085541,MISCELLANEOUS EXPENDITURE,39.99
