TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2018-11-12,PARK CAMERAS LTD,10085250,Office machinery: purchase,2098.94
2018-11-02,SHERATON GRAND HOTEL,10085340,Actual Bed and breakfast costs,1585.02
2018-11-15,WILLIAM-REED,10085520,Recruitment & advertising charges,720
2018-11-14,FLUID BRANDING LIMITED,10085820,Incidental expenses,2910
2018-11-12,TAMESIDE METROPOLITAN,10085340,IT Software Licences,1000
2018-11-05,THE FARMERS CLUB,10085210,Actual Bed and breakfast costs,775
2018-11-09,CIVIL SERVICE LEARNING,10085520,Staff training: Region & HQ Admin,1441.2
2018-11-12,WWW.PMGLTD.CO.UK,10085520,Staff training: Region & HQ Admin,534
2018-11-26,LIVEGROUP.CO.UK,10085520,Staff training: Region & HQ Admin,546
2018-11-27,UNIVERSITY OF YORK,10085520,Staff training: Region & HQ Admin,900
2018-11-27,UNIVERSITY OF YORK,10085520,Staff training: Region & HQ Admin,900
2018-11-05,DATA SOLUTIONS 201,10085350,Other services,842.4
2018-11-22,QLIKTECH INC,10085350,IT Software Licences,505.69
2018-11-20,COLOUR DATA UK LTD,10085541,Stationery,767.94
2018-11-13,ENERGIA,10085820,Utilities,617.64
