TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2016-05-30,EXKI,10085424,Foreign Subsistence,9.39
2016-05-29,SKY GREEN,10085424,Foreign Subsistence,26.83
2016-05-27,OYSTER AUTOTOPUP,10085370,Other Travel,20
2016-05-25,PUSHKAR LTD,1085510,Subsistence,225
2016-05-27,TRADING STANDARDS INST,10085330,Staff training: Region & HQ Admin,205.2
2016-05-29,GO METRO SCHUMANN,10085424,FOREIGN RAIL TRAVEL,10.98
2016-05-27,WWW.GR8ESCAPEYORK.CO.U,10085510,Staff training: Region & HQ Admin,61.2
2016-05-29,MCDONALDS,10085721,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,9.18
2016-05-27,BOULEVARD CAFE,10085820, CATERING & HOSPITALITY,84
2016-05-27,POST OFFICE COUNTER,10085150,POSTAGE,2.06
2016-05-27,WWW.GR8ESCAPEYORK.CO.U,10085510,Staff training: Region & HQ Admin,52.2
2016-05-27,MARKHAM VALE GREGGS,10085150,Subsistence,4.59
2016-05-26,COPTHORNE HOTEL BI,10085721,Other Travel,12
2016-05-27,PARK INN BIRMINGHAM W,10085150,Hospitality,10.1
2016-05-28,TESCO STORE 3063,10085721,EXP - PURCHASE OF GOODS/SERVICES - OTHER,9.55
2016-05-26,PP GOPRODUCTIO,10085250,PROGRAMME EXPENDITURE,754.56
2016-05-26,VISITUR SEYAHAT TIC.A.,10085411,OTHER FOREIGN TRAVEL,501.52
2016-05-26,VISITUR SEYAHAT TIC.A.,10085411,Training & Development,501.52
2016-05-26,AMAZON UK MARKETPLACE,10085346,ICT Costs,14.98
2016-05-25,HOTEL RELAIS N.6,10085460,EU Actual Bed and breakfast costs,112.41
2016-05-26,SAFESTORE LIMITED,10085721,EXP - PURCHASE OF GOODS/SERVICES - OTHER,485.84
2016-05-26,APCOA - NWR LEEDS,10085510,Other Travel,36
2016-05-25,HOTEL RELAIS N.6,10085460,EU Actual Bed and breakfast costs,289.44
2016-05-25,HOTEL RELAIS N.6,10085460,EU Actual Bed and breakfast costs,-112.41
2016-05-26,POST OFFICE COUNTER,10085150,POSTAGE,6.6
2016-05-24,NEW SOUTHERN RAILW,10085820, RAIL TRAVEL,26.7
2016-05-25,MCDONALDS,10085150,Subsistence,4.69
2016-05-25,EUSKOTREN,10085410,Rail Travel,4.37
2016-05-25,OYSTER AUTOTOPUP,10085350,Other Travel,20
2016-05-25,AMAZON PRIME,10085820,MEMBERSHIP OF ORGANISATIONS,79
2016-05-24,CHINA CITY,10085350,Subsistence,148.7
2016-05-24,SAINSBURYS SACAT 4003,10085721,Subsistence,5
2016-05-24,R2E5409BERTS2G1,10085410,Subsistence,11.79
2016-05-24,APCOA PARKING (UK) LTD,10085452,Other Travel,9.2
2016-05-24,FTC ECOM,10085510,Training & Development,1299
2016-05-24,APCOA PARKING (UK) LTD,10085452,Other travel,27.2
2016-05-24,ROYAL COURT OF JUS,10085150,OTHER PROFESSIONAL SERVICES - LEGAL,1199
2016-05-24,3119 ARAMARK CAFE,10085721,Subsistence,4
2016-05-24,POSTURITE (UK) LTD,10085350,FURNITURE & FITTINGS,350.99
2016-05-24,APCOA - OFF STREET,10085110,OTHER TRAVEL: car parking,4.2
2016-05-24,EB  MAKING THE MOST OF,10085721,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,15
2016-05-23,DISCLOSURE SCOT,10085580,Recruitment,25
2016-05-23,OYSTER ISSUE TEL,10085820, RAIL TRAVEL,25
2016-05-19,NCP LIMITED,10085150,Other Travel,7.3
2016-05-20,J J'S,10085721,EXP - PURCHASE OF GOODS/SERVICES - CATERING & HOSPITALITY,21.6
2016-05-20,J HUGGINS & SON LTD,10085350,VEHICLE MAINTENANCE,243.73
2016-05-22,SNCF,10085410,Rail Travel,15.86
2016-05-20,CP SERVS CARDIFF CC,10085721,Other Travel,5.2
2016-05-20,SHL GROUP LTD,10085520,Recruitment,354.6
2016-05-20,CLOUDFLARE,10085250,COMPUTER SOFTWARE,141.2
2016-05-22,LE CENTENAIRE,10085410,Subsistence,22.45
2016-05-20,AMAZON UK MARKETPLACE,10085820,Other accommodation costs,11.74
2016-05-21,OYSTER AUTOTOPUP,10085370,Other Travel,20
2016-05-22,AUTOBUSES LA UNION,10085410,Rail Travel,10
2016-05-20,AMAZON UK MARKETPLACE,10085820,STATIONERY,24.68
2016-05-20,J J'S,10085721,EXP - PURCHASE OF GOODS/SERVICES - CATERING & HOSPITALITY,21.6
2016-05-20,WWW.ABBEYDALEDIRECT.CO,10085350,Protective Clothing,36
2016-05-20,POST OFFICE COUNTER,10085150,POSTAGE,11.7
2016-05-20,TRAFALGAR FILLING,10085150,Other travel,16.35
2016-05-20,J J'S,10085721,EXP - PURCHASE OF GOODS/SERVICES - CATERING & HOSPITALITY,21.6
2016-05-19,OYSTER AUTOTOPUP,10085110,OTHER TRAVEL: Tube,20
2016-05-19,NXGEAR,10085721,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS,420
2016-05-18,ARROW PRIVATE HIRE LEE,10085510,Other Travel,15.91
2016-05-19,POST OFFICE COUNTER,10085150,POSTAGE,3.95
2016-05-19,LT BILLS HOLBORN,10085220,Hospitality,46.29
2016-05-19,OYSTER AUTOTOPUP,10085370,Other Travel,20
2016-05-19,APCOA PARKING (UK) LTD,10085452,Other Travel,9.2
2016-05-18,BREDBURY HALL,10085541,Actual ,89
2016-05-19,AMAZON UK MARKETPLACE,10085541,ICT Costs,59.7
2016-05-19,OYSTER AUTOTOPUP,10085370,Other Travel,20
2016-05-19,MCDONALDS,10085150,Subsistence,2.98
2016-05-18,HILTON,10085721,Subsistence,19.95
2016-05-19,BSI STANDARDS,10085721,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,1920
2016-05-19,OYSTER ISSUE WEB,10085541,Other Travel,25
2016-05-19,WWW.PRET.COM,10085460,Subsistence,164.65
2016-05-19,BURGOYNES OF LYONSHALL,10085721,EXP - PURCHASE OF GOODS/SERVICES - OTHER,234
2016-05-17,HARD ROCK CAFE SHOP,10085350,Subsistence,48.39
