TransactionDate,MerchantName,TransactionAmount,ReferenceNumber
2019-05-01,PAYPAL  ENRICOSMOG,1677.6,8532516949
2019-05-03,AWS EMEA,770.24,8539211223
2019-05-03,CITY UNIVERSITY LONDON,1140,8539211305
2019-05-03,FULPRINT LTD,828,8538843545
2019-05-03,AMZN MKTP UK MN7SK0L34,1643.64,8539211247
2019-05-07,WEST END DJ LTD,1980,8551544785
2019-05-07,EJO,1000,8551234911
2019-05-10,BURGOYNES  LYONSHALL,1386,6326369442
2019-05-15,TMR EXECUTIVE AGENCY L,663.6,6344600794
2019-05-16,CIVIL SERVICE LEARNING,1405.2,6350184438
2019-05-16,CIVIL SERVICE LEARNING,736.16,6350184440
2019-05-18,QLIKTECH INC,509.83,6357534742
2019-05-20,EAACI ZURICH CH,746.32,6369659142
2019-05-22,ENERGIA,535.55,6374879122
2019-05-23,DIGITAL ID,758.4,6380998494
2019-05-29,TRADING STANDARDS INST,972,8582247049
2019-05-30,BROOKS AND KIRK,545,8587411867
2019-05-30,TMR EXECUTIVE AGENCY L,663.6,8587411873
2019-05-31,DANUBIUS TH. HOTEL HE,628.23,8594735921
