TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2017-08-02,STK SHUTTERSTOCK.COM,10085250,Publicity charges,139
2017-08-03,FACEBK NM6WZCALD2,10085250,Publicity charges,20.12
2017-08-07,DROPBOX V59M7ZLZXR44,10085250,Computer Hardware/Software,394.74
2017-08-22,"POLL EVERYWHERE, INC.",10085250,Computer Hardware/Software,159.87
2017-08-29,WETRANSFER,10085250,Computer Hardware/Software,114.94
2017-08-31,FACEBK FSMUZCNLD2,10085250,Project Programme Expenditure,29.88
2017-08-07,POST OFFICE COUNTER,10085150,Postal Charges,16.85
2017-08-08,BISTRO ON THE QUAY,10085150,Subsistence 24 hour subsistence,18.3
2017-08-09,PENTA HOTELS,10085150,Travel UK Other Travel,12
2017-08-09,MCDONALDS,10085150,Subsis day time meal allowance,4.99
2017-08-31,POST OFFICE COUNTER,10085150,Postal Charges,6.5
2017-08-20,CLOUDFLARE,10085545,Project Programme Expenditure,160.21
2017-08-29,LOGMEININC.COM,10085545,Project Programme Expenditure,287.86
2017-08-30,ZEEMAPS,10085545,Project Programme Expenditure,259.7
2017-08-09,AMAZON EU,10085150,Office machinery: purchase,42.96
2017-08-11,POST OFFICE COUNTER,10085150,Postal Charges,2.4
2017-08-17,MERCURE TUNBRIDGE,10085150,Subsistence 24 hour subsistence,25.9
2017-08-17,WELCOME B/WAITROSE,10085150,Subsis day time meal allowance,4.1
2017-08-18,AMAZON UK MARKETPLACE,10085150,Stationery,2.47
2017-08-19,POST OFFICE COUNTER,10085150,Postal Charges,1.3
2017-08-31,MCDONALDS,10085150,Subsis day time meal allowance,4.88
2017-08-10,THE POST OFFICE,10085150,Postal Charges,2.84
2017-08-21,THE POST OFFICE,10085150,Postal Charges,7.8
2017-08-25,THE POST OFFICE,10085150,Postal Charges,4.4
2017-08-28,BREWERS FAYRE 41516365,10085150,Subsistence 24 hour subsistence,30.08
2017-08-29,MCDONALDS,10085150,Subsistence 24 hour subsistence,6.09
2017-08-30,MRH DRUMBY,10085150,Travel UK Other Travel,40
2017-08-17,WIFI TRAVELODGE  WI,10085211,Telecoms networks & call charges,3
2017-08-18,CITY BAR & GRILL,10085211,Subsis day time meal allowance,5.7
2017-08-18,THE GLOBE 1934,10085211,Subsis day time meal allowance,17.2
2017-08-16,LUL TICKET MACHINE,10085250,Subsis incidental personal expens,30
2017-08-16,M&S SIMPLY FOOD - SSP,10085250,Subsis incidental personal expens,9.65
2017-08-16,TRAINLINE,10085250,Subsis incidental personal expens,20.3
2017-08-16,WONDERTREE 1958,10085250,Subsis incidental personal expens,14.7
2017-08-14,TRANSLINK WEB PAYMENTS,10085820,Rail Travel,35
2017-08-30,WP-FIRSTGROUP PLC,10085820,Travel UK Taxi/Bus/Tube,20
2017-08-16,POST OFFICE COUNTER,10085370,Stationery,33.44
2017-08-16,PAPERCHASE PRODUCTS,10085370,Stationery,11.05
2017-08-09,CUSTOMER THERMOMETER,10085510,Incidental expenses,20.71
2017-08-30,CUSTOMER THERMOMETER,10085510,Incidental expenses,35.24
2017-08-09,OYSTER AUTOTOPUP,10085510,Travel UK Taxi/Bus/Tube,20
2017-08-01,GOOGLE  SVCSAPPS_FSA-E,10085541,IT Software Licences,69.7
2017-08-01,MR J OLDROYD CAFE LUCA,10085541,Hospitality,125
2017-08-21,COLOUR DATA UK,10085541,IT equipment maintenance,1465.07
2017-08-24,AMAZON UK MARKETPLACE,10085541,Computer Consumables,36.98
2017-08-25,MSFT  <E04004A2IT>,10085541,IT Software Licences,349.45
2017-08-09,BOOTS 1521,10085820,Subsis day time meal allowance,3.89
2017-08-09,SAINSBURYS 2019,10085820,Staff training: Region & HQ Admin,22.45
2017-08-09,WONDERTREE 1974,10085820,Subsistence 24 hour subsistence,15.4
2017-08-29,FLYING HORSE,10085820,Subsistence 24 hour subsistence,8.6
2017-08-29,NEW SOUTHERN RAILW,10085820,Rail Travel,19.9
2017-08-29,SAINSBURYS 2019,10085820,Subsis day time meal allowance,4.05
2017-08-30,EB  CIPD NI WELL-BEING,10085820,Staff training: Region & HQ Admin,108
2017-08-31,OYSTER AUTOTOPUP,10085820,Travel UK Taxi/Bus/Tube,20
2017-08-05,SURVEYMONKEY.COM,10085721,Project Programme Expenditure,24
2017-08-08,PP LIGHTHOUSEP,10085721,Stationery,42
2017-08-10,GWR SWINDON FH,10085721,Subsis day time meal allowance,7.1
