TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2018-03-03,TIMES NEWSPAPERS LTD,10085250,Project Programme Expenditure,26
2018-03-13,PIKTOCHART,10085250,Project Programme Expenditure,21.52
2018-03-27,APPLE STORE R092,10085250,Computer Hardware/Software,2000
2018-03-27,APPLE STORE R092,10085250,Computer Hardware/Software,2000
2018-03-01,POST OFFICE COUNTER,10085150,Postal Charges,2.08
2018-03-06,POST OFFICE COUNTER,10085150,Postal Charges,3.62
2018-03-09,POST OFFICE COUNTER,10085150,Postal Charges,14.26
2018-03-15,MCDONALDS,10085150,Subsis day time meal allowance,4.99
2018-03-21,MCDONALDS,10085150,Subsis day time meal allowance,4.99
2018-03-26,POST OFFICE COUNTER,10085150,Postal Charges,16.85
2018-03-29,POST OFFICE COUNTER,10085150,Postal Charges,16.85
2018-03-20,CLOUDFLARE,10085545,Project Programme Expenditure,147.09
2018-03-08,HAYNES MOTOR MUSEU,10085150,Subsis day time meal allowance,2.5
2018-03-12,HOLIDAY INNS,10085150,Subsis day time meal allowance,6
2018-03-13,POST OFFICE COUNTER,10085150,Postal Charges,4.4
2018-03-14,MYHERMES.CO.UK,10085150,Postal Charges,7.79
2018-03-15,POST OFFICE COUNTER,10085150,Postal Charges,9.55
2018-03-20,POST OFFICE COUNTER,10085150,Postal Charges,2.08
2018-03-31,POST OFFICE COUNTER,10085150,Postal Charges,6.5
2018-03-05,POST OFFICE COUNTER,10085150,Postal Charges,6.5
2018-03-21,POST OFFICE COUNTER,10085150,Postal Charges,4.4
2018-03-27,ARGOS WARREN HEATH,10085150,Incidental expenses,79.99
2018-03-14,AMAZON EU,10085150,Computer Hardware/Software,91.98
2018-03-21,POST OFFICE COUNTER,10085150,Postal Charges,8.55
2018-03-22,CRAVEN HEIFER INN,10085150,Subsistence 24 hour subsistence,25
2018-03-28,POST OFFICE COUNTER,10085150,Postal Charges,6.5
2018-03-23,ADOBE  CREATIVE CLOUD,10085820,Computer Hardware/Software,2427.36
2018-03-05,OYSTER RENEW WEB,10085820,Travel UK Taxi/Bus/Tube,-30
2018-03-09,TRANSLINK WEB PAYMENTS,10085820,Travel UK Other Travel,-22.5
