TransactionDate,MerchantName,TransactionAmount,ReferenceNumber
2019-06-01,ARTICULATE GLOBAL INC,2129.16,8594208059
2019-06-03,CHARTERED INSTITUTE OF,900,8601967247
2019-06-03,CHARTERED INSTITUTE OF,900,8601967249
2019-06-03,CHARTERED INSTITUTE OF,900,8601967251
2019-06-03,AWS EMEA,807.55,8602270393
2019-06-04,JIMMY SPICES,654.74,8606488589
2019-06-04,ASSOCIATION FOR PROJEC,575,8606278285
2019-06-06,CIVIL SERVICE LEARNING,882.71,8617106055
2019-06-06,OUT OF THE OFFICE LTD,2405.56,8617106057
2019-06-07,WWW.WESTMINSTER-BRIEFI,1200,8624128737
2019-06-13,ENERGIA,631.95,8647041697
2019-06-19,PRESTIGE TROPHIES LTD,724.62,6405561240
2019-06-19,HUMANE SLAUGHTER ASSOC,1140,6405561220
2019-06-20,BROOKS AND KIRK,545,6411080640
2019-06-24,WWW.WILMINGTON.CO.,4504.14,6426205842
2019-06-27,APPLE STORE R245,1217,6442070544
2019-06-28,VALUE CABS LTD,616.4,6449623428
