TransactionDate,MerchantName,TransactionAmount,ReferenceNumber
2019-08-02,ILLUMINE LIMITED,972,8653815903
2019-08-03,AWS EMEA,834.19,8654299595
2019-08-06,UNI CAM ESALES,1320,8665413741
2019-08-06,LLOYDS REGISTER EMEA,2034,8665045301
2019-08-06,WWW.GCOMSOLUTIONS.CO.U,900,8665045303
2019-08-08,WWW.WESTMINSTER-BRIEFI,2832,8675364783
2019-08-08,WWW.WESTMINSTER-BRIEFI,2400,8675364785
2019-08-09,NOW PROJECT LIMITED,1800,8681968417
2019-08-12,WP-HANDS FREE COMP,708,8689367749
2019-08-12,FLYBE.COM R8KJDA       0,558.64,8693084923
2019-08-13,ENERGIA,676.91,8693084921
2019-08-13,SEDGEMOOR DISTRICT,938.23,8693084927
2019-08-14,PRYSM MEDIA GROUP,4176,8698141789
2019-08-14,CARDIFF CITY FC,1186.8,8697957857
2019-08-16,WWW.NEOPOST.CO.UK,2000,8710032771
2019-08-22,POSTURITE LTD,880.74,8731203201
2019-08-22,POSTURITE LTD,880.74,8731203203
2019-08-27,GLOBAL INSIGHT CONFERE,1025.71,8749106215
2019-08-27,MONTGOMERY FOOD CONSUL,1800,8749106227
2019-08-30,CANFORD AUDIO PLC,517.62,8766756831
