TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2016-12-06,GLOBAL INSIGHT CONFERE,10085250,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,466.8
2016-12-13,LOVE2SHOP.CO.UK,10085250,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - STATIONERY,50
2016-12-13,LOVE2SHOP.CO.UK,10085250,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - STATIONERY,153.5
2016-12-13,SP  VUEGIFTCARDS,10085250,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - STATIONERY,31.5
2016-12-22,DONT PANIC PROJECT VT,10085250,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,264
2016-12-05,POST OFFICE COUNTER,10085150,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,2.06
2016-12-08,HOWELLS OF CARDIFF,10085150,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,3.79
2016-12-08,NCP LIMITED,10085150,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2016-12-08,SEVERN RIVER CROSSIN P,10085150,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,6.6
2016-12-21,MCDONALDS,10085150,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,4.89
2016-12-29,POST OFFICE COUNTER,10085150,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,7.68
2016-12-09,SURVEYMONKEY,10085545,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,299
2016-12-20,CLOUDFLARE,10085545,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,166.84
2016-12-01,ROYAL MAIL PRE-PAY,10085370,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,100
2016-12-02,AMAZON UK MARKETPLACE,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,47.69
2016-12-05,OYSTER RENEW WEB,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2016-12-06,AMAZON EU,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,125.8
2016-12-06,AMAZON UK MARKETPLACE,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,2172.78
2016-12-06,AMAZON UK MARKETPLACE,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,159.8
2016-12-06,DETECTAMET LTD,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,196.8
2016-12-07,W A PRODUCTS UK,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,128.04
2016-12-09,CURRYS ONLINE,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,545
2016-12-09,POLYBAGS LTD,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,123.51
2016-12-09,WWW.FLSUK.CO.UK,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,124.8
2016-12-10,AMAZON UK MARKETPLACE,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,75.39
2016-12-14,OYSTER AUTOTOPUP,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2016-12-15,MR J OLDROYD CAFE LUCA,10085370,EXP - PURCHASE OF GOODS/SERVICES - CATERING & HOSPITALITY,375
2016-12-15,ROYAL MAIL PRE-PAY,10085370,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,100
2016-12-16,DWP,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,877.2
2016-12-17,OYSTER AUTOTOPUP,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2016-12-20,INTERNATIONAL SCIENTIF,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,429
2016-12-20,WWW.ABBEYDALEDIRECT.CO,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,70.5
2016-12-21,OYSTER AUTOTOPUP,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2016-12-22,DOD`S PARLIAMENTARY CO,10085370,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - PUBLICATIONS,354
2016-12-22,OYSTER RENEW WEB,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2016-12-28,AUTOGLASS,10085370,EXP - PURCHASE OF GOODS/SERVICES- OTHER - LEASE CAR COSTS#N/A,152.79
2016-12-30,F. L. SERVICES LIMITED,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,28.95
2016-12-07,SHIFNAL COTTAGE,10085150,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,25
2016-12-13,THE POST OFFICE,10085150,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,6.32
2016-12-20,M&S SIMPLY FOOD-SSP,10085150,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,3.35
2016-12-23,THE POST OFFICE,10085150,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,3.95
2016-12-01,THE PRINCE WILLIAM HEN,10085410,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,13.2
2016-12-09,STARHOTELS DU PARC,10085410,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,9.53
2016-12-01,WONDERTREE 1958,10085820,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,12.6
