TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2016-06-20,CIPD MEMBERSHIP RENEWA,10085820,Professional Memberships,174
2016-06-20,DUN & BRADSTREET LIMIT,10085530,Publications,230.56
2016-06-20,WWW.CATALOGUE.WLPVP.CO,10085460,PRINTING,106.71
2016-06-20,WONDERTREE,10085820,Subsistence,11.7
2016-06-20,APCOA PARKING (UK) LTD,10085530,Other Travel,9
2016-06-20,THE ANSWER CENTRE,10085541,TELECOMS ,531.04
2016-06-20,SHL GROUP LTD,10085520,RECRUITMENT ADVERTISING,354.6
2016-06-17,AMAZON UK MARKETPLACE,10085345,Stationery,19.99
2016-06-17,HOUSE OF COMMONS,10085110,OTHER FACILITIES COSTS: MEETING ROOM HIRE,500
2016-06-17,HANNA INSTRUMENTS LTD,10085820,Programme Expenditure,1029
2016-06-17,NIAVAC,10085820,IT Costs,342
2016-06-17,EB  THE 3RD PREMIAM PO,10085347,Training & Development,372
2016-06-18,OYSTER AUTOTOPUP,10085370,Other Travel,20
2016-06-17,OYSTER AUTOTOPUP,10085370,Other Travel,20
2016-06-17,WWW.PRET.COM,10085453,CATERING & HOSPITALITY,104.1
2016-06-17,POST OFFICE COUNTER,10085150,Postage,16.95
2016-06-17,OYSTER RENEW TEL,10085350,Other Travel,20
2016-06-18,OYSTER AUTOTOPUP,10085452,Other Travel,20
2016-06-17,LUL TICKET MACHINE,10085210,Other Travel,30
2016-06-14,MOMENTUM SERVICES LIMI,10085424,Subsistence,4.4
2016-06-16,APCOA PARKING (UK) LTD,10085452,Other Travel,9.2
2016-06-16,AMAZON UK MARKETPLACE,10085541,ICT Costs,13.99
2016-06-16,POST OFFICE COUNTER,10085150,Postage,7.68
2016-06-16,WWW.PRET.COM,10085460,Hospitality,45.34
2016-06-15,MARGAM PARK,10085721,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,10.2
2016-06-15,THE POST OFFICE,10085150,Postage,3.19
2016-06-15,CUSTOMER THERMOMETER,10085452,ICT Costs,31.95
2016-06-15,COMPANIES HOUSE,10085580,Miscellaneous,1
2016-06-15,MCDONALDS,10085150,Subsistence,4.89
2016-06-15,"DEFRA, NOBEL HOUSE",10085330,Hospitality,163.2
2016-06-15,POST OFFICE COUNTER,10085150,Postage,4.45
2016-06-15,OYSTER BUS AUTOSET,10085580,Rail Travel,20
2016-06-14,THE FARMERS CLUB,10085120, SUBSISTENCE: Accommodation,90
2016-06-14,OYSTER BUS AUTOSET,10085520,Rail Travel,20
2016-06-14,LAND REGISTRY,10085150,MISCELLANEOUS EXPENDITURE,6
2016-06-02,WWW.DEPAK.DE,10085250,ICT Costs,282.09
2016-06-14,LAND REGISTRY,10085150,MISCELLANEOUS EXPENDITURE,6
2016-06-14,EUROSTAR INTERNET,10085345,FOREIGN RAIL TRAVEL,29.5
2016-06-14,THE POST OFFICE,10085150,Postage,14.85
2016-06-14,WWW.ROYALMAIL.COM,10085370,Postage,100
2016-06-13,LA BRACE,10085424,Subsistence,19.52
2016-06-13,HYGIENA INTERNATIONAL,10085370,Postage,18
2016-06-13,FACEBOOK 9CR4U9W3R2,10085721,Programme Expenditure,22.24
2016-06-13,APCOA - NWR LEEDS,10085510,Other Travel,18
2016-06-13,AMAZON EU,10085452,Training & Development,14.76
2016-06-13,INDEPENDENT NEWS & MED,10085520,RECRUITMENT ADVERTISING,723.12
2016-06-13,POST OFFICE COUNTER,10085150,Postage,7.25
2016-06-13,AMAZON UK MARKETPLACE,10085541,ICT Costs,9.98
2016-06-10,OYSTER AUTOTOPUP,10085370,Other Travel,20
2016-06-09,HMSHOST AMSTERDAM SCHI,10085210,Subsistence,2.17
2016-06-10,J J'S,10085721,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,6.35
2016-06-09,PARK PLAZA UTRECHT,10085210,Actual Bed and breakfast costs,210.78
2016-06-11,OYSTER AUTOTOPUP,10085370,Other Travel,20
2016-06-10,WRIGHTS ACCIDENT REPA,10085350,VEHICLE MAINTENANCE,454.49
2016-06-11,OYSTER AUTOTOPUP,10085350,Other Travel,20
2016-06-10,OYSTER AUTOTOPUP,10085510,Other Travel,20
2016-06-09,OYSTER AUTOTOPUP,10085110,OTHER TRAVEL: Tube,20
2016-06-09,SAINSBURYS 2019,10085721,Subsistence,5.9
2016-06-09,WAGAMAMA T5 HEATHROW,10085820,Subsistence,23.1
2016-06-09,POST OFFICE COUNTER,10085150,Postage,5.12
2016-06-09,POST OFFICE COUNTER,10085150,Postage,4.45
2016-06-09,EAT,10085820,Subsistence,6.99
2016-06-09,CONS.INST.ORG,10085250,PRINTING,239.85
2016-06-09,EXPRESS ONBOARD,10085820,Travel,72
2016-06-09,TFL CC/LEZ CHARGE,10085350,Other Travel,28
2016-06-09,CUSTOMER THERMOMETER,10085580,Miscellaneous,18.51
2016-06-09,MCDONALDS,10085721,Subsistence,3.37
2016-06-09,CUSTOMER THERMOMETER,10085580,ICT Costs,18.51
2016-06-09,DISCLOSURE SCOT,10085580,RECRUITMENT ADVERTISING,25
2016-06-09,TFL CC/LEZ CHARGE,10085350,Other Travel,10
2016-06-08,MCDONALDS,10085150,Subsistence,4.69
2016-06-08,TMR EXECUTIVE AGENCY L,10085543,POSta,858.19
2016-06-08,NCP LIMITED,10085721,Other Travel,18
2016-06-08,TESCO STORES-2436,10085150,Subsistence,3
