TransactionDate,MerchantName,TransactionAmount,ReferenceNumber
2019-10-01,DEFRA YORK (BAXTERSTOR,500,8836794809
2019-10-01,VIS SECURITY SOLUTIONS,636,8836348343
2019-10-03,SLI DO,900,8848813207
2019-10-03,AWS EMEA,896.44,8848813201
2019-10-03,THE COOKERY SCHOOL JSS,974.18,8848464759
2019-10-14,LIVEGROUP.CO.UK,594,8894248703
2019-10-14,IMPRESS PRINT SERVICES,1212,8894646803
2019-10-15,CREATIVE VIDEO PRODUCT,536.4,8899211205
2019-10-15,EXPOCART #100005658,2062.8,8899211201
2019-10-17,FULPRINT LTD,1557.6,8910108739
2019-10-17,ENERGIA,535.3,8910108771
2019-10-18,CTU,960,8917549103
2019-10-21,WWW.WESTMINSTER-BRIEFI,1200,8925641393
2019-10-23,WWW.WESTMINSTER-BRIEFI,708,8936054967
2019-10-24,MONMOUTHSHIRE CNCL,1730,8942412981
