TransactionDate,MerchantName,TransactionAmount,ReferenceNumber
2020-03-03,AWS EMEA,833.37,9000296299
2020-03-04,B A C B,582,9009595681
2020-03-04,WWW.THEIRM.ORG,"1,194.00",9009595679
2020-03-05,WWW.WESTMINSTER-BRIEFI,600,9019309611
2020-03-06,WWW.THE-SRA.ORG.UK,"2,467.19",9023219323
2020-03-09,CAPITA BUSINESS SERVS,"1,389.38",9029003713
2020-03-09,CAPITA BUSINESS SERVS,"1,389.38",9029003715
2020-03-12,DOD'S PARLIAMENTARY CO,"1,200.00",9041746169
2020-03-13,ENERGIA,640.3,7110487656
2020-03-18,POSTURITE LTD,"1,281.78",7121673896
2020-03-23,TAMESIDE METROPOLITAN,"1,600.00",7131929192
2020-03-23,PAYPAL  LISAPETROU,870,7131929200
2020-03-23,THE UNIVERSITY OF READ,900,7131929202
2020-03-26,CAPITA BUSINESS SERVS,"1,294.30",7138591324
2020-03-26,THE OPERATIONAL RE,"1,167.60",9047846071
2020-03-27,CVP,"1,236.50",9047846065
2020-03-27,WEST END DJ LTD,"2,198.00",9047846061
2020-03-30,HAYMARKET MEDIA GROUP,"1,110.00",9049294753
