TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2016-08-16,WHEATSHEAF HOTEL,10085110,Actual Bed and breakfast costs,83.29
2016-08-16,WHEATSHEAF HOTEL,10085110,Actual Bed and breakfast costs,83.29
2016-08-16,WHEATSHEAF HOTEL,10085110,Actual Bed and breakfast costs,83.29
2016-08-16,WHEATSHEAF HOTEL,10085110,Actual Bed and breakfast costs,83.29
2016-08-15,TESCO STORES 4386,10085721,SUBSISTENCE,8.97
2016-08-16,PRET A MANGER,10085820,SUBSISTENCE,7.95
2016-08-16,TNT UK LTD,10085820,POSTAGE,199.01
2016-08-16,EAT,10085820,SUBSISTENCE,8.89
2016-08-16,CARLUCCIOS,10085820,SUBSISTENCE,191.18
2016-08-16,OYSTER BUS AUTOSET,10085520,OTHER TRAVEL,20
2016-08-16,AMAZON UK MARKETPLACE,10085370,MISCELLANEOUS EXPENDITURE,5.89
2016-08-16,AMAZON UK MARKETPLACE,10085370,MISCELLANEOUS EXPENDITURE,22.44
2016-08-16,THE FARMERS CLUB,10085460,Actual Bed and breakfast costs,90
2016-08-16,PAYPAL  HUMANESLAUG,10085370,MEMBERSHIP OF ORGANISATIONS,90
2016-08-16,PAYPAL  HUMANESLAUG,10085370,MEMBERSHIP OF ORGANISATIONS,90
2016-08-16,PAYPAL  HUMANESLAUG,10085370,MEMBERSHIP OF ORGANISATIONS,90
2016-08-16,PAYPAL  HUMANESLAUG,10085370,MEMBERSHIP OF ORGANISATIONS,90
2016-08-16,PAYPAL  HUMANESLAUG,10085370,MEMBERSHIP OF ORGANISATIONS,90
2016-08-16,PAYPAL  HUMANESLAUG,10085370,MEMBERSHIP OF ORGANISATIONS,90
2016-08-16,EB GODAN SUMMIT 2016,10085150,TRAINING & DEVELOPMENT,63.3
2016-08-15,TMR EXECUTIVE AGENCY L,10085543,OTHER FACILITIES COSTS ,923.76
2016-08-15,POST OFFICE COUNTER,10085150,POSTAGE,35.15
2016-08-15,THE POST OFFICE,10085150,POSTAGE,3.19
2016-08-15,AMAZON UK MARKETPLACE,10085370,MISCELLANEOUS EXPENDITURE,6.99
2016-08-15,LA BALLERINA,10085820,SUBSISTENCE,37.15
2016-08-15,CUSTOMER THERMOMETER,10085452,COMPUTER SOFTWARE,35.29
2016-08-15,WWW.CATALOGUE.WLPVP.CO,10085820,STATIONERY,26.68
2016-08-12,EASYJETEQ EQZ9G7V,10085250,AIR TRAVEL,60.6
2016-08-12,BRITISH HOSPITALAT,10085721,SUBSISTENCE,52.45
2016-08-13,AMAZON EU,10085370,MISCELLANEOUS EXPENDITURE,129.58
2016-08-12,IMPROVE INTERNATIONAL,10085370,TRAINING & DEVELOPMENT,573.6
2016-08-14,AMAZON UK MARKETPLACE,10085370,MISCELLANEOUS EXPENDITURE,43.99
2016-08-12,OYSTER AUTOTOPUP,10085370,OTHER TRAVEL,20
2016-08-11,OYSTER AUTOTOPUP,10085150,OTHER TRAVEL,20
2016-08-11,PARK INN YORK,10085150,SUBSISTENCE,12
2016-08-11,PARK INN YORK,10085150,SUBSISTENCE,12
2016-08-11,POST OFFICE COUNTER,10085150,POSTAGE,2.06
2016-08-11,TRE YSGAWEN HALL,10085721,Actual Bed and breakfast costs,111.5
2016-08-11,MALTHURST RETAIL L,10085721,Vehicle Hire,57.9
2016-08-11,OYSTER RENEW WEB,10085820,OTHER TRAVEL,50
2016-08-11,OYSTER AUTOTOPUP,10085530,OTHER TRAVEL,20
2016-08-11,DISCLOSURE SCOT,10085520,Recruitment,25
2016-08-10,L ANTICA LOCANDO,10085150,SUBSISTENCE,60
2016-08-10,TRE YSGAWEN HALL,10085721,SUBSISTENCE,15.15
2016-08-10,ASDA  STORE LTD4252,10085721,SUBSISTENCE,10.76
2016-08-10,MALTHURST LIMITED,10085721,Vehicle Hire,37.85
2016-08-10,DUN & BRADSTREET LIMIT,10085530,MEMBERSHIP OF ORGANISATIONS,91.01
2016-08-10,EAT,10085820,SUBSISTENCE,12.04
2016-08-10,DISCLOSURE SCOT,10085520,Recruitment,25
2016-08-10,SHL GROUP LTD,10085520,RECRUITMENT ADVERTISING,354.6
2016-08-10,AMAZON UK MARKETPLACE,10085541,ICT ,7.95
2016-08-10,EAT,10085820,SUBSISTENCE,6.43
2016-06-28,WWW.OFFICEFURNITUREONL,10085330,ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,-88.8
2016-08-09,WWW.CATALOGUE.WLPVP.CO,10085150,PRINTING,26.68
2016-08-09,DROPBOX JLCCKSB53ZT4,10085250,COMPUTEER HARDWARE,396.57
2016-08-09,TMR EXECUTIVE AGENCY L,10085543,OTHER FACILITIES COSTS ,1716
