TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2018-12-27,PARK CAMERAS LTD,10085250,Computer Hardware/Software,2389.95
2018-12-04,BMJ PUBLISHING GROUP,10085520,Recruitment & advertising charges,1010.4
2018-12-05,RBI INVOICE PAYMENTS,10085520,Recruitment & advertising charges,2040
2018-12-05,ENGAGE BUSINESS,10085820,Incidental expenses,1476
2018-12-11,EML LEARNING LTD,10085520,Staff training: Region & HQ Admin,2880
2018-12-11,EML LEARNING LTD,10085520,Staff training: Region & HQ Admin,894
2018-12-13,LIVEGROUP.CO.UK,10085520,Staff training: Region & HQ Admin,546
2018-12-19,THE OPERATIONAL RE,10085520,Staff training: Region & HQ Admin,660
2018-12-21,BEN JOHNSON LTD,10085350,Stationery,609.24
2018-12-05,QLIKTECH INC,10085510,IT Software Licences,593.04
2018-12-19,LIVEGROUP.CO.UK,10085510,Staff training: Region & HQ Admin,648
2018-12-19,WWW.PMGLTD.CO.UK,10085541,Staff training: Corp Strategy,1068
2018-12-05,BMF BUSIN.SERV.LTD-CON,10085820,Project Programme Expenditure,1914
2018-12-18,ENERGIA,10085820,Utilities,733.29
2018-12-03,ST ERMIN'S HOTEL,10085450,Conference & meeting facilities,693
