TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2017-07-03,RYMAN 1037,10085250,Stationery,104.97
2017-07-03,TIMES NEWSPAPERS LTD,10085250,Subscriptions to pro bodies,26
2017-07-17,AZO PRINT LTD,10085250,Printing & binding,55.3
2017-07-21,GUARDIAN NEWS & MEDIA,10085250,Staff training: Region & HQ Admin,1920
2017-07-04,MCDONALDS,10085150,Subsis day time meal allowance,4.99
2017-07-07,POST OFFICE COUNTER,10085150,Postal Charges,3.62
2017-07-17,FOREST PINES HOTEL,10085150,Subsistence 24 hour subsistence,18.5
2017-07-18,SAINSBURYS PFS1528,10085150,Car hire expenses (short term),33.84
2017-07-31,HOLIDAY INN DONCAS,10085150,Subsistence 24 hour subsistence,22.7
2017-07-20,CLOUDFLARE,10085545,Project Programme Expenditure,158.95
2017-07-22,GITHUB.COM  4PTRJ,10085545,Project Programme Expenditure,238.42
2017-07-07,POST OFFICE COUNTER,10085150,Postal Charges,3.5
2017-07-12,AMAZON.CO.UK,10085150,Stationery,2.99
2017-07-13,POST OFFICE COUNTER,10085150,Postal Charges,5.5
2017-07-21,AMAZON UK MARKETPLACE,10085150,Stationery,47.6
2017-07-28,POST OFFICE COUNTER,10085150,Postal Charges,3.05
2017-07-19,THE POST OFFICE,10085150,Postal Charges,2.68
2017-07-20,THE POST OFFICE,10085150,Postal Charges,2.08
2017-07-31,THE POST OFFICE,10085150,Postal Charges,2.84
2017-07-18,NEW SOUTHERN RAILW,10085250,Subsis incidental personal expens,27.5
2017-07-18,PRET A MANGER,10085250,Subsis incidental personal expens,6.35
2017-07-18,THE REGENCY,10085250,Subsis incidental personal expens,17.5
2017-07-18,TRAINLINE,10085250,Subsis incidental personal expens,20.3
2017-07-20,JAMIES ITALIAN,10085250,Subsis incidental personal expens,50
2017-07-26,GARFUNKELS 1519,10085250,Subsis incidental personal expens,19.85
2017-07-26,NEW SOUTHERN RAILW,10085250,Subsis incidental personal expens,15.7
2017-07-26,TRAINLINE,10085250,Subsis incidental personal expens,20.3
2017-07-17,OYSTER RENEW WEB,10085820,Travel UK Taxi/Bus/Tube,20
2017-07-18,THE REGENCY,10085820,Subsistence 24 hour subsistence,17.5
2017-07-20,JAMIES ITALIAN,10085820,Subsistence 24 hour subsistence,25
2017-07-18,DOCKLANDS LIGHT RA,10085820,Travel UK Taxi/Bus/Tube,50
2017-07-19,DELI-LITES,10085820,Subsis day time meal allowance,17.1
2017-07-13,BREWERS FAYRE 41516135,10085370,Subsistence - Hospitality,14.49
2017-07-20,NEW INDOS RESTAURANT,10085370,Subsistence 24 hour subsistence,51.5
2017-07-31,PENDEREL'S OAK,10085370,Subsistence 24 hour subsistence,52.1
2017-07-06,1PP EDUCATION LTD,10085510,Staff training: Region & HQ Admin,564
2017-07-06,CIEH,10085510,Staff training: Region & HQ Admin,192
2017-07-09,CUSTOMER THERMOMETER,10085510,Incidental expenses,20.88
2017-07-19,OYSTER AUTOTOPUP,10085510,Travel UK Taxi/Bus/Tube,20
2017-07-30,CUSTOMER THERMOMETER,10085510,Incidental expenses,34.76
2017-07-12,OYSTER BUS AUTOTOP,10085510,Travel UK Taxi/Bus/Tube,20
2017-07-15,OYSTER AUTOTOPUP,10085510,Travel UK Taxi/Bus/Tube,20
2017-07-02,GOOGLE  SVCSAPPS_FSA-E,10085541,IT Software Licences,62.7
2017-07-03,AMAZON.CO.UK,10085541,Computer Consumables,6.99
2017-07-11,HEWORTH COURT HOTEL,10085541,Other services,174.24
2017-07-12,AMAZON EU,10085541,Office machinery: purchase,6.89
2017-07-12,AMAZON UK MARKETPLACE,10085541,Office machinery: purchase,176
2017-07-21,GODADDY COM EUROPE,10085541,IT Software Licences,667.16
2017-07-25,MSFT  <E040044GNY>,10085541,IT Software Licences,360.57
2017-07-20,OYSTER AUTOTOPUP,10085820,Travel UK Taxi/Bus/Tube,20
2017-07-05,SURVEYMONKEY,10085721,Project Programme Expenditure,24
2017-07-18,WWW.RWAS.WALES,10085721,Project Programme Expenditure,104
2017-07-20,WWW.MY.CHUBB.CO.UK,10085721,Estate maintenance,227.35
2017-07-21,C D P SOLUTIONS,10085721,Project Programme Expenditure,193.8
2017-07-25,EAT DRINK SLEEP LT,10085721,Subsistence 24 hour subsistence,135
2017-07-25,TESCO PFS 5268,10085721,Subsis day time meal allowance,4.6
2017-07-01,TRAVELODGE,10085332,Subsistence 24 hour subsistence,382.5
2017-07-10,SPENCERS BAR,10085332,Subsistence 24 hour subsistence,82.45
